batch_id,carbon_pct,manganese_pct,furnace_temp_C,rolling_speed_mps,cooling_rate_Cps,defect
B100000,0.46,0.566,1664.6,21.93,10.97,0
B100001,0.383,0.711,1496.7,15.31,10.72,1
B100002,0.478,0.617,1582.0,24.15,23.55,0
B100003,0.583,0.736,1597.7,16.46,26.19,1
B100004,0.372,0.836,1600.9,24.5,9.43,0
B100005,0.372,1.151,1609.9,18.36,10.99,0
B100006,0.59,0.804,1633.6,9.67,21.86,1
B100007,0.492,0.424,1598.1,14.11,18.2,1
B100008,0.344,1.242,1579.8,17.42,19.06,0
B100009,0.465,0.649,1577.6,28.21,20.38,0
B100010,0.344,0.882,1566.4,25.41,13.56,0
B100011,0.344,1.034,1643.3,29.74,16.98,0
B100012,0.429,0.96,1564.4,29.92,16.51,0
B100013,0.17,1.228,1646.6,16.79,9.85,0
B100014,0.193,1.044,1601.0,18.87,16.89,0
B100015,0.333,0.642,1571.3,17.53,22.43,0
B100016,0.278,1.554,1634.0,15.97,13.0,0
B100017,0.438,0.958,1560.0,8.95,15.92,0
B100018,0.291,0.856,1635.1,19.91,16.24,0
B100019,0.231,1.189,1611.7,12.29,13.29,1
B100020,0.576,0.975,1567.2,19.79,19.06,0
B100021,0.373,1.02,1629.1,32.69,10.92,0
B100022,0.408,1.648,1630.1,16.94,23.0,0
B100023,0.229,0.817,1663.7,21.17,18.76,0
B100024,0.335,0.805,1653.1,25.44,9.38,1
B100025,0.413,0.935,1627.0,21.68,25.19,0
B100026,0.262,1.221,1538.0,21.75,16.01,0
B100027,0.445,0.448,1734.7,17.83,10.66,0
B100028,0.328,0.31,1522.8,18.61,21.63,1
B100029,0.365,0.724,1652.2,14.24,17.97,0
B100030,0.328,0.41,1623.7,25.08,4.37,0
B100031,0.622,0.773,1535.4,9.55,11.85,1
B100032,0.398,1.051,1593.2,25.83,16.67,0
B100033,0.273,0.633,1595.7,11.58,2.04,0
B100034,0.499,0.472,1671.8,25.78,15.51,1
B100035,0.253,0.921,1560.8,17.88,15.95,0
B100036,0.425,1.159,1585.6,12.61,7.9,0
B100037,0.165,0.392,1471.5,23.48,16.62,1
B100038,0.241,1.146,1695.4,25.57,15.04,0
B100039,0.424,1.145,1541.1,17.37,7.85,0
B100040,0.489,1.186,1618.0,24.32,20.52,0
B100041,0.421,1.266,1594.4,6.29,20.03,0
B100042,0.386,1.561,1594.6,12.08,13.26,0
B100043,0.364,0.793,1644.5,27.75,13.81,0
B100044,0.223,0.933,1691.9,18.66,19.36,0
B100045,0.314,0.775,1613.8,8.83,13.8,0
B100046,0.345,0.901,1636.0,15.81,3.41,0
B100047,0.527,1.36,1618.1,14.46,17.92,0
B100048,0.441,0.496,1656.0,19.0,10.12,0
B100049,0.188,0.642,1574.5,17.78,12.66,0
B100050,0.439,1.313,1659.1,21.07,23.75,0
B100051,0.354,1.206,1661.1,19.58,14.2,1
B100052,0.319,0.791,1659.5,28.16,15.01,0
B100053,0.473,1.156,1563.7,22.55,18.06,0
B100054,0.524,1.002,1590.7,22.75,18.03,0
B100055,0.512,1.35,1613.2,26.99,9.48,0
B100056,0.299,0.922,1524.6,17.67,14.64,0
B100057,0.363,1.208,1687.7,12.43,15.22,0
B100058,0.44,1.693,1599.3,27.24,16.63,0
B100059,0.517,1.079,1615.6,20.82,16.74,0
B100060,0.342,0.915,1568.3,20.84,30.52,0
B100061,0.378,1.117,1527.0,16.2,7.94,0
B100062,0.267,0.79,1566.8,16.3,20.88,0
B100063,0.256,1.616,1612.1,25.08,22.1,0
B100064,0.498,0.954,1637.0,25.91,17.96,0
B100065,0.563,0.818,1608.9,24.7,11.1,0
B100066,0.391,0.649,1619.1,24.76,24.99,0
B100067,0.52,1.229,1581.5,23.41,2.0,0
B100068,0.443,1.16,1627.3,20.79,10.9,1
B100069,0.323,0.751,1681.6,18.95,22.03,0
B100070,0.443,1.073,1638.8,27.26,12.78,0
B100071,0.585,0.447,1644.5,17.76,24.58,0
B100072,0.396,0.955,1616.2,22.22,5.93,0
B100073,0.588,1.036,1517.3,15.18,8.33,0
B100074,0.086,1.412,1542.5,16.04,11.81,0
B100075,0.499,0.669,1625.0,18.58,17.5,0
B100076,0.41,0.516,1599.4,15.18,13.67,0
B100077,0.364,0.631,1624.2,24.79,12.06,0
B100078,0.411,0.499,1692.2,11.91,23.52,0
B100079,0.161,1.301,1639.9,20.6,24.08,0
B100080,0.374,1.365,1669.2,20.8,12.51,0
B100081,0.443,0.996,1605.2,9.14,4.74,0
B100082,0.577,1.266,1555.6,17.35,2.06,0
B100083,0.338,0.94,1596.8,21.53,16.44,0
B100084,0.303,0.871,1555.7,22.57,18.94,1
B100085,0.34,0.8,1685.7,18.77,15.38,0
B100086,0.51,0.807,1643.5,24.06,14.57,0
B100087,0.439,0.436,1628.6,19.34,10.17,0
B100088,0.336,0.979,1668.0,20.08,18.93,0
B100089,0.462,0.888,1488.9,21.51,25.07,1
B100090,0.412,1.124,1632.3,25.56,2.0,0
B100091,0.516,0.928,1527.9,15.95,14.53,1
B100092,0.316,0.851,1599.6,17.08,9.18,0
B100093,0.361,0.639,1582.9,15.99,6.06,0
B100094,0.353,0.922,1636.4,18.01,8.22,0
B100095,0.224,1.121,1612.6,28.56,17.28,0
B100096,0.436,0.557,1674.0,23.44,17.43,0
B100097,0.431,0.926,1566.9,13.21,23.76,0
B100098,0.401,0.97,1639.0,16.4,15.05,0
B100099,0.372,0.685,1608.9,22.24,4.45,0
B100100,0.23,0.724,1510.1,14.56,13.57,0
B100101,0.35,0.969,1549.5,15.65,6.68,0
B100102,0.359,0.56,1591.8,28.07,7.76,0
B100103,0.304,1.005,1661.2,16.32,18.48,1
B100104,0.381,0.631,1625.5,25.73,16.17,0
B100105,0.448,1.219,1535.8,27.53,18.53,0
B100106,0.626,1.601,1592.3,15.6,12.86,0
B100107,0.421,0.642,1711.0,14.66,19.74,0
B100108,0.431,1.06,1606.1,18.34,12.52,0
B100109,0.391,0.682,1582.0,13.47,21.7,0
B100110,0.17,1.212,1627.0,20.73,17.07,0
B100111,0.397,0.52,1642.0,18.77,13.76,0
B100112,0.407,1.044,1574.9,22.16,16.27,0
B100113,0.696,0.638,1627.6,28.38,14.89,1
B100114,0.377,0.838,1581.9,24.9,24.58,1
B100115,0.436,0.591,1639.6,22.94,16.47,0
B100116,0.396,1.147,1609.3,8.2,14.99,0
B100117,0.26,0.649,1626.5,22.66,13.57,0
B100118,0.537,1.066,1558.2,30.34,20.06,0
